date,IaaS
2018-05-14,83.57142857142857
2018-05-15,84.14285714285714
2018-05-16,84.71428571428571
2018-05-17,85.28571428571429
2018-05-18,85.85714285714286
2018-05-19,86.42857142857143
2018-05-20,87.0
2018-05-21,86.71428571428571
2018-05-22,86.42857142857143
2018-05-23,86.14285714285714
2018-05-24,85.85714285714286
2018-05-25,85.57142857142857
2018-05-26,85.28571428571429
2018-05-27,85.0
2018-05-28,85.57142857142857
2018-05-29,86.14285714285714
2018-05-30,86.71428571428571
2018-05-31,87.28571428571429
2018-06-01,87.85714285714286
2018-06-02,88.42857142857143
2018-06-03,89.0
